"secondclasslargeletter","Second Class Large Letter",UK_STANDARD_SECOND_CLASS_LARGE_LETTER,0,20,20
"secondclasssmallparcel","Second Class Small Parcel",UK_STANDARD_SECOND_CLASS_SMALL_PARCEL,0,20,20, SMALL
"secondclassmediumparcel","Second Class Medium Parcel",UK_STANDARD_SECOND_CLASS_MEDIUM_PARCEL,0,20,20
"internationalstandardletter","International Standard Letter",WORLD_ZONE_EU_INTERNATIONAL_STANDARD_LETTER,0,20,20
"internationalstandardletter","International Standard Letter",WORLD_ZONE_EU_ONE_INTERNATIONAL_STANDARD_LETTER,0,20,20
"internationalstandardletter","International Standard Letter",WORLD_ZONE_EU_TWO_INTERNATIONAL_STANDARD_LETTER,0,20,20
"internationalstandardletter","International Standard Letter",WORLD_ZONE_EU_THREE_INTERNATIONAL_STANDARD_LETTER,0,20,20
"internationalstandardletter","International Standard Letter",WORLD_ZONE_ONE_INTERNATIONAL_STANDARD_LETTER,0,20,20
"internationalstandardletter","International Standard Letter",WORLD_ZONE_TWO_INTERNATIONAL_STANDARD_LETTER,0,20,20
"internationalstandardletter","International Standard Letter",WORLD_ZONE_THREE_INTERNATIONAL_STANDARD_LETTER,0,20,20
"internationalstandardlargeletter","International Standard Large Letter",WORLD_ZONE_EU_INTERNATIONAL_STANDARD_LARGE_LETTER,0,20,20
"internationalstandardlargeletter","International Standard Large Letter",WORLD_ZONE_EU_ONE_INTERNATIONAL_STANDARD_LARGE_LETTER,0,20,20
"internationalstandardlargeletter","International Standard Large Letter",WORLD_ZONE_EU_TWO_INTERNATIONAL_STANDARD_LARGE_LETTER,0,20,20
"internationalstandardlargeletter","International Standard Large Letter",WORLD_ZONE_EU_THREE_INTERNATIONAL_STANDARD_LARGE_LETTER,0,20,20
"internationalstandardlargeletter","International Standard Large Letter",WORLD_ZONE_ONE_INTERNATIONAL_STANDARD_LARGE_LETTER,0,20,20
"internationalstandardlargeletter","International Standard Large Letter",WORLD_ZONE_TWO_INTERNATIONAL_STANDARD_LARGE_LETTER,0,20,20
"internationalstandardlargeletter","International Standard Large Letter",WORLD_ZONE_THREE_INTERNATIONAL_STANDARD_LARGE_LETTER,0,20,20
"internationalstandardsmallparcel","International Standard Small Parcel",WORLD_ZONE_EU_INTERNATIONAL_STANDARD_SMALL_PARCEL,0,20,20, SMALL
"internationalstandardsmallparcel","International Standard Small Parcel",WORLD_ZONE_EU_ONE_INTERNATIONAL_STANDARD_SMALL_PARCEL,0,20,20, SMALL
"internationalstandardsmallparcel","International Standard Small Parcel",WORLD_ZONE_EU_TWO_INTERNATIONAL_STANDARD_SMALL_PARCEL,0,20,20, SMALL
"internationalstandardsmallparcel","International Standard Small Parcel",WORLD_ZONE_EU_THREE_INTERNATIONAL_STANDARD_SMALL_PARCEL,0,20,20, SMALL
"internationalstandardsmallparcel","International Standard Small Parcel",WORLD_ZONE_ONE_INTERNATIONAL_STANDARD_SMALL_PARCEL,0,20,20, SMALL
"internationalstandardsmallparcel","International Standard Small Parcel",WORLD_ZONE_TWO_INTERNATIONAL_STANDARD_SMALL_PARCEL,0,20,20, SMALL
"internationalstandardsmallparcel","International Standard Small Parcel",WORLD_ZONE_THREE_INTERNATIONAL_STANDARD_SMALL_PARCEL,0,20,20, SMALL
"internationallettertrackedsigned","International Tracked and Signed Letter",WORLD_ZONE_EU_INTERNATIONAL_TRACKED_AND_SIGNED_LETTER,0,50,50
"internationallettertrackedsigned","International Tracked and Signed Letter",WORLD_ZONE_EU_ONE_INTERNATIONAL_TRACKED_AND_SIGNED_LETTER,0,50,50
