WORLD_ZONE_THREE_INTERNATIONAL_TRACKED_LETTER,0,50,50,"International Tracked Letter"
WORLD_ZONE_THREE_INTERNATIONAL_TRACKED_LARGE_LETTER,0,50,50,"International Tracked Large Letter"
WORLD_ZONE_THREE_INTERNATIONAL_TRACKED_SMALL_PARCEL,0,50,50,"International Tracked Small Parcel", SMALL
WORLD_ZONE_THREE_INTERNATIONAL_TRACKED_LETTER_EXTRA_INSURANCE,50.01,250,250,"International Tracked Letter"
WORLD_ZONE_THREE_INTERNATIONAL_TRACKED_LARGE_LETTER_EXTRA_INSURANCE,50.01,250,250,"International Tracked Large Letter"
WORLD_ZONE_THREE_INTERNATIONAL_TRACKED_SMALL_PARCEL_EXTRA_INSURANCE,50.01,250,250,"International Tracked Small Parcel", SMALL
WORLD_ZONE_THREE_INTERNATIONAL_SIGNED_LETTER,0,50,50,"International Signed Letter"
WORLD_ZONE_THREE_INTERNATIONAL_SIGNED_LARGE_LETTER,0,50,50,"International Signed Large Letter"
WORLD_ZONE_THREE_INTERNATIONAL_SIGNED_SMALL_PARCEL,0,50,50,"International Signed Small Parcel", SMALL
WORLD_ZONE_THREE_INTERNATIONAL_SIGNED_LETTER_EXTRA_INSURANCE,50.01,250,250,"International Signed Letter"
WORLD_ZONE_THREE_INTERNATIONAL_SIGNED_LARGE_LETTER_EXTRA_INSURANCE,50.01,250,250,"International Signed Large Letter"
WORLD_ZONE_THREE_INTERNATIONAL_SIGNED_SMALL_PARCEL_EXTRA_INSURANCE,50.01,250,250,"International Signed Small Parcel", SMALL
WORLD_ZONE_THREE_INTERNATIONAL_ECONOMY_LETTER,0,20,20,"International Economy Letter"
WORLD_ZONE_THREE_INTERNATIONAL_ECONOMY_LARGE_LETTER,0,20,20,"International Economy Large Letter"
WORLD_ZONE_THREE_INTERNATIONAL_ECONOMY_SMALL_PARCEL,0,20,20,"International Economy Small Parcel", SMALL
UK_GUARANTEED_ROYAL_MAIL_SPECIAL_DELIVERY_1PM_500,0,500,500,"Special Delivery: Guaranteed by 1pm"
UK_GUARANTEED_ROYAL_MAIL_SPECIAL_DELIVERY_1PM_1000,501,1000,1000,"Special Delivery: Guaranteed by 1pm"
UK_GUARANTEED_ROYAL_MAIL_SPECIAL_DELIVERY_1PM_2500,1001,2500,2500,"Special Delivery: Guaranteed by 1pm"
UK_GUARANTEED_ROYAL_MAIL_SPECIAL_DELIVERY_9AM_50,0,50,50,"Special Delivery: Guaranteed by 9am"
UK_GUARANTEED_ROYAL_MAIL_SPECIAL_DELIVERY_9AM_1000,51,1000,1000,"Special Delivery: Guaranteed by 9am"
UK_GUARANTEED_ROYAL_MAIL_SPECIAL_DELIVERY_9AM_2500,1001,2500,2500,"Special Delivery: Guaranteed by 9am"
UK_GUARANTEED_ROYAL_MAIL_SPECIAL_DELIVERY_1PM_SATURDAY_500,0,500,500,"Special Delivery: Guaranteed by 1pm Saturday"
UK_GUARANTEED_ROYAL_MAIL_SPECIAL_DELIVERY_1PM_SATURDAY_1000,501,1000,1000,"Special Delivery: Guaranteed by 1pm Saturday"
UK_GUARANTEED_ROYAL_MAIL_SPECIAL_DELIVERY_1PM_SATURDAY_2500,1001,2500,2500,"Special Delivery: Guaranteed by 1pm Saturday"
UK_GUARANTEED_ROYAL_MAIL_SPECIAL_DELIVERY_9AM_SATURDAY_50,0,50,50,"Special Delivery: Guaranteed by 9am Saturday"
UK_GUARANTEED_ROYAL_MAIL_SPECIAL_DELIVERY_9AM_SATURDAY_1000,51,1000,1000,"Special Delivery: Guaranteed by 9am Saturday"
