WORLD_ZONE_EU_INTERNATIONAL_TRACKED_AND_SIGNED_SMALL_PARCEL_EXTRA_INSURANCE,1.251,1.500,17.71,250,
WORLD_ZONE_EU_INTERNATIONAL_TRACKED_AND_SIGNED_SMALL_PARCEL_EXTRA_INSURANCE,1.501,1.750,18.31,250,
WORLD_ZONE_EU_INTERNATIONAL_TRACKED_AND_SIGNED_SMALL_PARCEL_EXTRA_INSURANCE,1.751,2.000,19.46,250,

WORLD_ZONE_EU_INTERNATIONAL_TRACKED_LETTER,0.001,0.010,6.75,50,
WORLD_ZONE_EU_INTERNATIONAL_TRACKED_LETTER,0.011,0.020,6.75,50,
WORLD_ZONE_EU_INTERNATIONAL_TRACKED_LETTER,0.021,0.100,6.75,50,

WORLD_ZONE_EU_INTERNATIONAL_TRACKED_LARGE_LETTER,0.001,0.100,8.65,50,
WORLD_ZONE_EU_INTERNATIONAL_TRACKED_LARGE_LETTER,0.101,0.250,8.85,50,
WORLD_ZONE_EU_INTERNATIONAL_TRACKED_LARGE_LETTER,0.251,0.500,9.85,50,
WORLD_ZONE_EU_INTERNATIONAL_TRACKED_LARGE_LETTER,0.501,0.750,10.25,50,

WORLD_ZONE_EU_INTERNATIONAL_TRACKED_SMALL_PARCEL,0.001,0.100,10.10,50,
WORLD_ZONE_EU_INTERNATIONAL_TRACKED_SMALL_PARCEL,0.101,0.250,10.25,50,
WORLD_ZONE_EU_INTERNATIONAL_TRACKED_SMALL_PARCEL,0.251,0.500,11.70,50,
WORLD_ZONE_EU_INTERNATIONAL_TRACKED_SMALL_PARCEL,0.501,0.750,12.75,50,
WORLD_ZONE_EU_INTERNATIONAL_TRACKED_SMALL_PARCEL,0.751,1.000,13.70,50,
WORLD_ZONE_EU_INTERNATIONAL_TRACKED_SMALL_PARCEL,1.001,1.250,14.10,50,
WORLD_ZONE_EU_INTERNATIONAL_TRACKED_SMALL_PARCEL,1.251,1.500,14.85,50,
WORLD_ZONE_EU_INTERNATIONAL_TRACKED_SMALL_PARCEL,1.501,1.750,15.25,50,
WORLD_ZONE_EU_INTERNATIONAL_TRACKED_SMALL_PARCEL,1.751,2.000,15.25,50,

WORLD_ZONE_EU_INTERNATIONAL_TRACKED_LETTER_EXTRA_INSURANCE,0.001,0.010,9.70,250,
WORLD_ZONE_EU_INTERNATIONAL_TRACKED_LETTER_EXTRA_INSURANCE,0.011,0.020,9.70,250,
WORLD_ZONE_EU_INTERNATIONAL_TRACKED_LETTER_EXTRA_INSURANCE,0.021,0.100,10.33,250,
WORLD_ZONE_EU_INTERNATIONAL_TRACKED_LARGE_LETTER_EXTRA_INSURANCE,0.001,0.100,11.22,250,
WORLD_ZONE_EU_INTERNATIONAL_TRACKED_LARGE_LETTER_EXTRA_INSURANCE,0.101,0.250,12.82,250,
WORLD_ZONE_EU_INTERNATIONAL_TRACKED_LARGE_LETTER_EXTRA_INSURANCE,0.251,0.500,14.56,250,
WORLD_ZONE_EU_INTERNATIONAL_TRACKED_LARGE_LETTER_EXTRA_INSURANCE,0.501,0.750,15.70,250,
WORLD_ZONE_EU_INTERNATIONAL_TRACKED_SMALL_PARCEL_EXTRA_INSURANCE,0.001,0.100,12.84,250,
WORLD_ZONE_EU_INTERNATIONAL_TRACKED_SMALL_PARCEL_EXTRA_INSURANCE,0.101,0.250,13.44,250,
WORLD_ZONE_EU_INTERNATIONAL_TRACKED_SMALL_PARCEL_EXTRA_INSURANCE,0.251,0.500,15.18,250,
WORLD_ZONE_EU_INTERNATIONAL_TRACKED_SMALL_PARCEL_EXTRA_INSURANCE,0.501,0.750,16.32,250,
WORLD_ZONE_EU_INTERNATIONAL_TRACKED_SMALL_PARCEL_EXTRA_INSURANCE,0.751,1.000,18.02,250,
WORLD_ZONE_EU_INTERNATIONAL_TRACKED_SMALL_PARCEL_EXTRA_INSURANCE,1.001,1.250,19.64,250,
WORLD_ZONE_EU_INTERNATIONAL_TRACKED_SMALL_PARCEL_EXTRA_INSURANCE,1.251,1.500,21.26,250,
WORLD_ZONE_EU_INTERNATIONAL_TRACKED_SMALL_PARCEL_EXTRA_INSURANCE,1.501,1.750,21.98,250,
WORLD_ZONE_EU_INTERNATIONAL_TRACKED_SMALL_PARCEL_EXTRA_INSURANCE,1.751,2.000,23.36,250,

WORLD_ZONE_EU_INTERNATIONAL_SIGNED_LETTER,0.001,0.010,6.85,50,
WORLD_ZONE_EU_INTERNATIONAL_SIGNED_LETTER,0.011,0.020,6.85,50,
WORLD_ZONE_EU_INTERNATIONAL_SIGNED_LETTER,0.020,0.100,6.85,50,

WORLD_ZONE_EU_INTERNATIONAL_SIGNED_LARGE_LETTER,0.001,0.100,8.75,50,
WORLD_ZONE_EU_INTERNATIONAL_SIGNED_LARGE_LETTER,0.101,0.250,9.20,50,
WORLD_ZONE_EU_INTERNATIONAL_SIGNED_LARGE_LETTER,0.251,0.500,9.95,50,
WORLD_ZONE_EU_INTERNATIONAL_SIGNED_LARGE_LETTER,0.501,0.750,10.35,50,

WORLD_ZONE_EU_INTERNATIONAL_SIGNED_SMALL_PARCEL,0.001,0.100,10.50,50,
WORLD_ZONE_EU_INTERNATIONAL_SIGNED_SMALL_PARCEL,0.101,0.250,10.65,50,
WORLD_ZONE_EU_INTERNATIONAL_SIGNED_SMALL_PARCEL,0.251,0.500,12.10,50,
WORLD_ZONE_EU_INTERNATIONAL_SIGNED_SMALL_PARCEL,0.501,0.750,13.15,50,
WORLD_ZONE_EU_INTERNATIONAL_SIGNED_SMALL_PARCEL,0.751,1.000,14.10,50,
WORLD_ZONE_EU_INTERNATIONAL_SIGNED_SMALL_PARCEL,1.001,1.250,14.50,50,
WORLD_ZONE_EU_INTERNATIONAL_SIGNED_SMALL_PARCEL,1.251,1.500,15.05,50,
WORLD_ZONE_EU_INTERNATIONAL_SIGNED_SMALL_PARCEL,1.501,1.750,15.25,50,
WORLD_ZONE_EU_INTERNATIONAL_SIGNED_SMALL_PARCEL,1.751,2.000,15.25,50,

WORLD_ZONE_EU_INTERNATIONAL_SIGNED_LETTER_EXTRA_INSURANCE,0.001,0.010,6.00,250,
WORLD_ZONE_EU_INTERNATIONAL_SIGNED_LETTER_EXTRA_INSURANCE,0.011,0.020,6.00,250,
WORLD_ZONE_EU_INTERNATIONAL_SIGNED_LETTER_EXTRA_INSURANCE,0.020,0.100,6.52,250,
